,name,city,latitud,longitud,etiqueta
0,Starbucks Reserve,New York,40.72994333023035,-73.9939131949986,Starbucks
1,Starbucks,New York,40.72689,-74.00026,Starbucks
2,Starbucks,New York,40.727192,-73.99546,Starbucks
3,Starbucks,New York,40.73046083792656,-73.99078218925392,Starbucks
4,Starbucks,New York,40.72077941894531,-74.00435638427734,Starbucks
5,Starbucks,New York,40.722584953691005,-73.9980228047693,Starbucks
6,Starbucks,New York,40.72990798225845,-73.99140743961189,Starbucks
7,Starbucks,New York,40.730647126953016,-74.0026079003726,Starbucks
8,Starbucks,New York,40.73318,-74.00293,Starbucks
9,Starbucks,New York,40.733033,-73.999677,Starbucks
10,Starbucks,New York,40.73725,-74.00172,Starbucks
11,Starbucks,New York,40.71880196675863,-74.00243121466805,Starbucks
12,Starbucks,New York,40.71823,-74.00732,Starbucks
13,Starbucks,New York,40.72449233,-73.98771484,Starbucks
14,Starbucks,New York,40.73628194,-73.99120667,Starbucks
15,Starbucks,New York,40.73698,-73.9964,Starbucks
16,Starbucks,New York,40.71833,-74.000015,Starbucks
17,Starbucks,New York,40.72572004349832,-74.00568558837828,Starbucks
18,Starbucks,New York,40.71925187,-73.99004522,Starbucks
19,Starbucks,New York,40.71571383553879,-74.0031541656601,Starbucks
20,Starbucks Reserve Roastery,New York,40.74166158826782,-74.00507982765883,Starbucks
21,Starbucks,New York,40.735023,-73.989845,Starbucks
22,Starbucks,New York,40.729655,-73.996179,Starbucks
23,Starbucks,New York,40.73371260231791,-74.00627519979301,Starbucks
24,Starbucks,New York,40.7309,-73.9832,Starbucks
25,Starbucks,New York,40.73375,-73.986595,Starbucks
26,Starbucks,New York,40.714855,-74.005936,Starbucks
27,Starbucks,New York,40.713838516500275,-74.00902572737122,Starbucks
28,Starbucks Reserve,New York,40.71417,-74.015434,Starbucks
29,Starbucks,New York,40.740383,-73.991165,Starbucks
